Division
Women's 11 Under Age Group 30kg
Women's 11 Under Age Group 33kg
Women's 11 Under Age Group 36kg
Women's 11 Under Age Group 40kg
Women's 11 Under Age Group 44kg
Women's 11 Under Age Group 48kg
Women's 11 Under Age Group 53kg
Women's 11 Under Age Group 58kg
Women's 11 Under Age Group 63kg
Women's 11 Under Age Group 63+kg
Men's 11 Under Age Group 32kg
Men's 11 Under Age Group 36kg
Men's 11 Under Age Group 40kg
Men's 11 Under Age Group 44kg
Men's 11 Under Age Group 48kg
Men's 11 Under Age Group 52kg
Men's 11 Under Age Group 56kg
Men's 11 Under Age Group 60kg
Men's 11 Under Age Group 65kg
Men's 11 Under Age Group 65+kg
Women's 13 Under Age Group 30kg
Women's 13 Under Age Group 33kg
Women's 13 Under Age Group 36kg
Women's 13 Under Age Group 40kg
Women's 13 Under Age Group 44kg
Women's 13 Under Age Group 48kg
Women's 13 Under Age Group 53kg
Women's 13 Under Age Group 58kg
Women's 13 Under Age Group 63kg
Women's 13 Under Age Group 63+kg
Men's 13 Under Age Group 32kg
Men's 13 Under Age Group 36kg
Men's 13 Under Age Group 40kg
Men's 13 Under Age Group 44kg
Men's 13 Under Age Group 48kg
Men's 13 Under Age Group 52kg
Men's 13 Under Age Group 56kg
Men's 13 Under Age Group 60kg
Men's 13 Under Age Group 65kg
Men's 13 Under Age Group 65+kg
Women's 14-15 Age Group 40kg
Women's 14-15 Age Group 44kg
Women's 14-15 Age Group 48kg
Women's 14-15 Age Group 53kg
Women's 14-15 Age Group 58kg
Women's 14-15 Age Group 63kg
Women's 14-15 Age Group 69kg
Women's 14-15 Age Group 69+kg
Men's 14-15 Age Group 48kg
Men's 14-15 Age Group 52kg
Men's 14-15 Age Group 56kg
Men's 14-15 Age Group 60kg
Men's 14-15 Age Group 65kg
Men's 14-15 Age Group 71kg
Men's 14-15 Age Group 79kg
Men's 14-15 Age Group 79+kg
Women's 16-17 Age Group 44kg
Women's 16-17 Age Group 48kg
Women's 16-17 Age Group 53kg
Women's 16-17 Age Group 58kg
Women's 16-17 Age Group 63kg
Women's 16-17 Age Group 69kg
Women's 16-17 Age Group 77kg
Women's 16-17 Age Group 77+kg
Men's 16-17 Age Group 56kg
Men's 16-17 Age Group 60kg
Men's 16-17 Age Group 65kg
Men's 16-17 Age Group 71kg
Men's 16-17 Age Group 79kg
Men's 16-17 Age Group 88kg
Men's 16-17 Age Group 94kg
Men's 16-17 Age Group 94+kg
Junior Women's 48kg
Junior Women's 53kg
Junior Women's 58kg
Junior Women's 63kg
Junior Women's 69kg
Junior Women's 77kg
Junior Women's 86kg
Junior Women's 86+kg
Junior Men's 60kg
Junior Men's 65kg
Junior Men's 71kg
Junior Men's 79kg
Junior Men's 88kg
Junior Men's 94kg
Junior Men's 110kg
Junior Men's 110+kg
Women's Masters (35-39) 48kg
Women's Masters (35-39) 53kg
Women's Masters (35-39) 58kg
Women's Masters (35-39) 63kg
Women's Masters (35-39) 69kg
Women's Masters (35-39) 77kg
Women's Masters (35-39) 86kg
Women's Masters (35-39) 86+kg
Men's Masters (35-39) 60kg
Men's Masters (35-39) 65kg
Men's Masters (35-39) 71kg
Men's Masters (35-39) 79kg
Men's Masters (35-39) 88kg
Men's Masters (35-39) 94kg
Men's Masters (35-39) 110kg
Men's Masters (35-39) 110+kg
Women's Masters (40-44) 48kg
Women's Masters (40-44) 53kg
Women's Masters (40-44) 58kg
Women's Masters (40-44) 63kg
Women's Masters (40-44) 69kg
Women's Masters (40-44) 77kg
Women's Masters (40-44) 86kg
Women's Masters (40-44) 86+kg
Men's Masters (40-44) 60kg
Men's Masters (40-44) 65kg
Men's Masters (40-44) 71kg
Men's Masters (40-44) 79kg
Men's Masters (40-44) 88kg
Men's Masters (40-44) 94kg
Men's Masters (40-44) 110kg
Men's Masters (40-44) 110+kg
Women's Masters (45-49) 48kg
Women's Masters (45-49) 53kg
Women's Masters (45-49) 58kg
Women's Masters (45-49) 63kg
Women's Masters (45-49) 69kg
Women's Masters (45-49) 77kg
Women's Masters (45-49) 86kg
Women's Masters (45-49) 86+kg
Men's Masters (45-49) 60kg
Men's Masters (45-49) 65kg
Men's Masters (45-49) 71kg
Men's Masters (45-49) 79kg
Men's Masters (45-49) 88kg
Men's Masters (45-49) 94kg
Men's Masters (45-49) 110kg
Men's Masters (45-49) 110+kg
Women's Masters (50-54) 48kg
Women's Masters (50-54) 53kg
Women's Masters (50-54) 58kg
Women's Masters (50-54) 63kg
Women's Masters (50-54) 69kg
Women's Masters (50-54) 77kg
Women's Masters (50-54) 86kg
Women's Masters (50-54) 86+kg
Men's Masters (50-54) 60kg
Men's Masters (50-54) 65kg
Men's Masters (50-54) 71kg
Men's Masters (50-54) 79kg
Men's Masters (50-54) 88kg
Men's Masters (50-54) 94kg
Men's Masters (50-54) 110kg
Men's Masters (50-54) 110+kg
Women's Masters (55-59) 48kg
Women's Masters (55-59) 53kg
Women's Masters (55-59) 58kg
Women's Masters (55-59) 63kg
Women's Masters (55-59) 69kg
Women's Masters (55-59) 77kg
Women's Masters (55-59) 86kg
Women's Masters (55-59) 86+kg
Men's Masters (55-59) 60kg
Men's Masters (55-59) 65kg
Men's Masters (55-59) 71kg
Men's Masters (55-59) 79kg
Men's Masters (55-59) 88kg
Men's Masters (55-59) 94kg
Men's Masters (55-59) 110kg
Men's Masters (55-59) 110+kg
Women's Masters (60-64) 48kg
Women's Masters (60-64) 53kg
Women's Masters (60-64) 58kg
Women's Masters (60-64) 63kg
Women's Masters (60-64) 69kg
Women's Masters (60-64) 77kg
Women's Masters (60-64) 86kg
